Question,Answer
What is your favorite dish to cook?,When the House and Senate meet on the very important Farm Bill  we love our farmers - hopefully they will be able to leave the WORK REQUIREMENTS FOR FOOD STAMPS PROVISION that the House approved. Senate should go to 51 votes!
What are your favorite sports?,NASCAR and Champion MartinTruex Jr were recently at the White House. It was a great day for a great sport!
What are some of your favorite TV shows?,"I love watching these poor, pathetic people (pundits) on television working so hard and so seriously to try and figure me out. They can't!"
What did you do last weekend?,Played the Trump International Golf Club in Palm Beach last weekend. One of the best golf courses in the country. Perfect weather.
What kind of books do you like to read?,My new book #TimeToGetTough is the best present of the holiday season. A great gift for anyone who cares about this country.
Who has been the most influential person in your life?,"New York Magazine just named the most influential ""tweeters"" in N.Y. and one Donald Trump was #2 after ESPN. Actually, I'm easily #1!"
Do you still keep in touch with childhood friends?,"In politics, and sometimes in life, FRIENDS COME AND GO, BUT ENEMIES ACCUMULATE!"
"If you were stranded on an island and could take three things with you, what would they be?","When I think big, which is often, you can be sure I’m aware of the enormous amount of little things that we will have to account for."
Whats your favorite animal?,
Whats the most spontaneous thing youve ever done?,
What is your biggest pet peeve?,China is buying gas fields in Texas  & stealing our corporate secrets
Whats your all-time favorite movie?,"Django Unchained is the most racist movie I have ever seen, it sucked!"
How do you like to spend your mornings?,I just bought stock in Tiffany & Company and McDonald's. Two ends of the spectrum but I like both companies.
How do you like to spend your nights?,"Watching my beautiful wife, Melania, speak about our love of country and family. We will make you all very proud.… "
What are your quirks?,
Whats you all-time favorite song/artist/band/genre?,"WOW! I just heard that the previously unknown singer Mac Miller has received over 67 million hits on his song ""Donald Trump."""
What are you most afraid of?,Don’t be afraid of being unique - it's like being afraid of your best self. --Donald J. Trump 
Tell me about your family.,"Watching my beautiful wife, Melania, speak about our love of country and family. We will make you all very proud.… "
Whos your best friend?,mike pence and I will defeat #ISIS.  #VPDebate
Are there misconceptions about yourself you wish people wouldnt make?,"I can't imagine any President having a better or closer relationship with their Vice President then the two of us. Just more FAKE NEWS, the Enemy of the People!"
"If you were to patent an idea or thing, what would it be?","Obama Administration legalized bump stocks. BAD IDEA. As I promised, today the Department of Justice will issue the rule banning BUMP STOCKS with a mandated comment period. We will BAN all devices that turn legal weapons into illegal machine guns."
What do you wish you were better at?,
Whats been your biggest regret in life?,MittRomney needs to make BarackObama regret that he ever asked for his tax records.
What did you want to be growing up?,
What was your yearbook quote?,
Whats the last event you bought a ticket for?,
Whats your favorite childhood memory?,
Did you have any nicknames?,The Donald
Whats the most embarrassing thing thats ever happened to you?,
Do you have any hidden talents?,
Where can you see yourself living?,
Whats your favorite way to get active?,
Where do you go on nights out?,
do you like to travel?,
What's the best present you ever gave someone?,
"Dogs or cats, which do you like?",
What's your weirdest quality?,
Are you a night owl or early bird?,
Top 5 favorite Disney Movies,
What makes you laugh more: dry humor or weird/goofy humor?,
"If you could get free season tickets to any professional team of any sport, who would you choose?",
"If you had to spend $5 million in one day, how would you spend it?",
Worst movie you've ever seen?,
Concert or Broadway show?,
How often do you dream of guacamole?,
"If you could only eat one type of donut for the rest of your life, what would it be?",
Sweet potato fries or onion rings?,
How many photos on your profile did you take just to use for Tinder?,
Do you sneak food into the movie theaters? ,
What would you be famous for and why?,
What's your life story in 4 sentences? This one is harder than you think.,
Greatest accomplishment?,
Your worst memory? ,
What three things do you think we have in common?,
What are you most grateful for?,
What is one thing that is important for me to know about you?,
What is something you like about me already?,
Favorite inspirational quote?,
What do you order at brunch?,
How do you feel about Snapchat?,
What's the worst thing someone could say about you?,
What movie has made you cry?,
The best part about the Super Bowl?,
How's your relationship with your mother? ,
How long do you wait to start packing for a long trip?,
what do you fear most?,
Do you live by yourself? ,
Coffee or tea?,
Chandler or Ross?,
How do you feel about podcasts?,
Favorite pizza place? ,
How do you get over someone?,
What's your happy music?,
Who is your ideal man/woman?,
Do you watch reality TV?,
Favorite food?,
Do you cook?,
Do you believe in aliens?,
When was your last relationship?,
Have you ever whipped your guitar out at a party and sang emotionally with your eyes closed?,
Do you get many matches on Tinder?,
What's the best present you ever gave someone?,
Where do you go on nights out?,
Do you like to travel?,
What ingredients makes your perfect burrito?,
How many siblings do you have?,
Any ideas what you want to do after?,
What is your favorite kind of food?,
What is your opinion on Copper Face Jacks?,
"If I asked you to streak right now, would you?",
What is your favorite sport?,
Do you like Anne Hathaway?,
Who is your ideal man/women?,
Would I know any of your exes?,
Salty snacks or desserts?,
Crisps or chocolate?,
Have you ever done the Gangnam Style?,
Did you ever do the Souja Boy routine?,
Who are your best friends?,
Have you scored any of my friends?,
"If you won $1,000,000 what would be the first thing you would do?",
Pandas or penguins?,
Dogs or cats?,
What is your party trick? ,
What music makes you happy?,
What age are you?,
Do you believe in ghosts?,
How many people have you slept with?,
Do you smoke an electronic cigarette?,
Do you like Jedward?,
Have you ever been on winning streak?,
To get over someone you....?,
Have you ever worn cowboy boots to the beach?,
"Dominos, Four Star or Pizza Hut?",
Can you lift brah?,
Any hobbies?,
What's the worst thing you've ever done?,
Do you have a blog?,
Have you ever made a vulgur or unfunny video and posted it on your Facebook?,
Can I see your Instagram?,
Do you ever repeat sappy quotes by dead celebrities?,
Do you live alone?,
Any fears?,
Did you like Breaking Bad?,
Are you going out this weekend?,
Ever had any injuries?,
Do you like One Direction?,
Where are you now?,
"If tomorrow was a national holiday, what would you do?",
What do you look for in a friendship?,
Wheres your favourite place that youve lived?,
What are you most proud of in your life?,
What was the best part of your day today?,
"If you could buy a plane ticket to anywhere, where would you choose?",
"If there was a zombie apocalypse and we all died tomorrow, what would you do today?",
What is your spirit animal?,
Do you think that you relate to your star sign?,
Who is your favourite Disney villain?,
Who are three of the most important people in your life?,
What are you watching on Netflix right now?,
What is the worst thing someone could do on a date with you?,
What is your biggest fear?,
How do you like to spend your day?,
Do you keep in touch with people you no longer see regularly?,
What did you want to be when you were a child?,
What is a skill you wish you had?,
What is your family like?,
Are you close to your family?,
Do you think people have any misconceptions about you?,
What instrument do you wish you could play?,
Have you ever had a really awkward date?,
What has been the best year of your life so far?,
What has been the best part of this year?,
"If you were given a lump sum of money to start a business, what kind of business would you start?",
What does your dream home look like?,
"If you could pursue any career, what would you choose to do?",
What is your Myers Briggs type? (Find out what that is here),
Are you an introvert or an extrovert?,
Do you think that money makes the world go round?,
"When you make decisions, do you rely on feelings or logic?",
Do you think that robots will take over the world?,
Do you get uncomfortable with untidiness?,
Do you like to plan your actions in advance?,
"If you could buy anything from a designer store, what would you choose?",
"If youre in a team-working task, what role do you take on?",
What is your favourite drink?,
Do you like tattoos?,
Have you ever read a book that changed the way you thought?,
Whats your favourite book?,
Whats your favourite film?,
What are you passionate about in life?,
What is a great memory of your childhood?,
"When something bad happens, who do you text first?",
Would you choose to go on a crazy road-trip or a luxury resort?,
What is your favourite thing to eat?,
What is the craziest thing youve ever done?,
Where did you last go on holiday?,
What qualities do you look for in people you date?,
What is a saying that you try to live by in life?,Make America Great Again
"If your life could be summarised into one line, what would it say?",
What is your favourite time of the day?,
What is one thing that people take a long time to find out about you?,
Do you prefer bars or clubs?,
What is your favourite dessert?,
Are you a vegetarian?,
Where were you born?,
"If you had three wishes in life, what would they be?",
"If you won the lottery, what would you do with the money?",
What is your Chinese zodiac sign?,
Do you have a thirst for adventure?,
What would you cook on Masterchef?,
Do you find it difficult to talk about your feelings?,
"If you really like something on the menu, do you always order the same thing?",
What is the best thing about your personality?,
When was the last time you had deja vu?,
"Wind, water, earth or fire?",
Do you find it easier to gain knowledge through books or hands-on experience?,
"If you could invite anyone in the world to a dinner party, who would you invite?",
Do you have any celebrity crushes?,
"If you could be a character in any movie, who would you be?",
"If a film was made about your life, who would play you?",
How do you think the world will end?,"In a little reported event, China has just overtaken the United States as the NUMBER ONE World economic power! Great going Washington!"
Have you ever had an interesting experience with drugs?,
"If you were stuck on a desert island, what 7 things would you take?",
"How romantic are you on a scale of 1-10, with 1 being not romantic at all?",
"If you had a superpower, what would it be?",
"If you could stop time, what would you do?",
What is one thing you wish you did less?,
What is the best advice youve been given?,#TrumpAdvice 
What is your favourite way to stay healthy?,The only way for Medicare and Social Security to remain solvent is if our economy is healthy. BarackObama doesn't get it.
"If you could go back in time, what year would you travel to?",
Do you like mountains or beaches?,
What is the scariest thing thats ever happened to you?,Obama’s speech on climate change was scary. It will lower our standard of living and raise costs of fuel & food for everyone.
Do you like scary movies?,Obama’s speech on climate change was scary. It will lower our standard of living and raise costs of fuel & food for everyone.
What kind of friends did you have in secondary school/high school?,
What is the nicest thing someones ever done for you?,
"If someone cheated on you, what would you do?",
Do you believe in marriage?,"“As someone once put it, ‘Marriage is the greatest ‘anti-poverty’ program God ever created.’” #TimeToGetTough"
What kind of things make you competitive?,VOTE FOR RON!
Are you good at keeping secrets?,"How did Snowden, with not even a high school education, get access to top secret U.S. records. He then gave, or sold, those records-traitor!"
Do you prefer texting or speaking on the phone?,I can’t believe Apple isn’t moving faster to create a larger iPhone screen. Bring back Steve Jobs!
Do you believe in God?,GOD BLESS THE U.S.A.! #MAGA
what are you hoping for?,I hope the discovery and eventual recovery of the Argentine submarine San Juan brings needed closure to the wonderful families of those brave missing sailors.
what are you looking forward to?,I look forward to hearing more from my friend President MauricioMacri in Argentina later this month.
how is fake news harmful?,The Fake News is showing old footage of people climbing over our Ocean Area Fence. This is what it really looks like - no climbers anymore under our Administration!
how's the situation in the middle east,"We no longer pay Pakistan the $Billions because they would take our money and do nothing for us, Bin Laden being a prime example, Afghanistan being another."
what's your opinion on north korea?,They were just one of many countries that take from the United States without giving anything in return.
what do you think about osama bin laden?,Of course we should have captured Osama Bin Laden long before we did. I pointed him out in my book just BEFORE the attack on the World Trade Center. President Clinton famously missed his shot. We paid Pakistan Billions of Dollars and they never told us he was living there. Fools!
who is cindy hydesmith?,cindyhydesmith loves Mississippi and our Great U.S.A.
who is rick scott?,From day one Rick Scott never wavered. He was a great Governor and will be even a greater Senator in representing the People of Florida.
what do you think about illegal immigrants?,"Catch and Release is an obsolete term. It is now Catch and Detain. Illegal Immigrants trying to come into the U.S.A., often proudly flying the flag of their nation as they ask for U.S. Asylum, will be detained or turned away."
what are you doing about the illegal immigrants?,Dems must approve Border Security and Wall NOW!
how's the situation in mexico?,"The Mayor of Tijuana, Mexico, just stated that City is ill-prepared to handle this many migrants, the backlog could last 6 months. Likewise, the U.S. is ill-prepared for this invasion, and will not stand for it. They are causing crime and big problems in Mexico. Go home!"
what's your take on politics?,"So funny to see little Adam Schitt (D-CA) talking about the fact that Acting Attorney General Matt Whitaker was not approved by the Senate, but not mentioning the fact that Bob Mueller (who is highly conflicted) was not approved by the Senate!"
what are you doing later?,I will be interviewed by Chris Wallace on FoxNews at 2:00 P.M. and 7:00 P.M. Enjoy!
how are you?,Incredible to be with our GREAT HEROES today in California. We will always be with you!
where are you headed?,"Heading to California with GOPLeader Kevin McCarthy, RepLaMalfa, and KenCalvert. Look forward to being with our brave Firefighters, First Responders and FEMA, along with the many brave People of California. We are with you all the way. God Bless you all!"
how's your vice president?,"I can't imagine any President having a better or closer relationship with their Vice President then the two of us. Just more FAKE NEWS, the Enemy of the People!"
what's Mike Pence like?,"The New York Times did a phony story, as usual, about my relationship with VP Mike Pence. They made up sources and refused to ask me, the only one that would know, for a quote"
do you like democrats?,Congratulations to Andrew Gillum on having run a really tough and competitive race for Governor of the Great State of Florida. He will be a strong Democrat warrior long into the future - a force to reckon with!
do you like nancy pelosi?,"I can get Nancy Pelosi as many votes as she wants in order for her to be Speaker of the House. She deserves this victory, she has earned it - but there are those in her party who are trying to take it away. She will win! TomReedCongress"
i love what you are doing to america,Thank you JerryBrownGov. Look forward to joining you and GavinNewsom tomorrow in California. We are with you!
tell me what you think about immigrants coming to the united states,"Isn it ironic that large Caravans of people are marching to our border wanting U.S.A. asylum because they are fearful of being in their country - yet they are proudly waving their country flag. Can this be possible? Yes, because it is all a BIG CON, and the American taxpayer is paying for it!"
who's winning the 2018 elections?,Congratulations to Brian Kemp on becoming the new Governor of Georgia. Stacey Abrams fought brilliantly and hard - she will have a terrific political future! Brian was unrelenting and will become a great Governor for the truly Wonderful People of Georgia!
who's winning the 2018 elections?,"Congratulations to Ron DeSantis on becoming the new Governor of Florida. Against all odds, he fought &amp; fought &amp; fought, the result being a historic victory. He never gave up and never will. He will be a great Governor!"
what's your proudest achievement?,PRESIDENTIAL MEDAL OF FREEDOM
what do you want people to know?,"People are not being told that the Republican Party is on track to pick up two seats in the U.S. Senate, and epic victory: 53 to 47. The Fake News Media only wants to speak of the House, where the Midterm results were better than other sitting Presidents."
what are you doing today?,"Today in the East Room of the WhiteHouse, it was my true privilege to award seven extraordinary Americans with the Presidential Medal of Freedom."
what do you like to do?,"It is our sacred duty to support America Service Members every single day they wear the uniform and every day after when they return home as Veterans. Together we will HONOR those who defend us, we will CHERISH those who protect us, and we will celebrate the amazing heroes."
what did you do yesterday?,"Last year, I signed the landmark VA Accountability Act to ensure those who mistreat our Veterans can be held fully accountable. Since my inauguration, we have removed more than 3,600 government employees who were not giving our Vets the care they deserve"
what did you do yesterday?,"It was my great honor to host a WhiteHouse Conference on Supporting Veterans &amp; Military Families. everyone here today who has served our Country in uniform, &amp; to every Veteran &amp; Military family across our land, I want to express the eternal gratitude of our entire Nation!"
what did you and melania do last night?,".FLOTUS Melania and I were honored to visit with our GREAT U.S. MARINES at the Marine Barracks here in Washington, D.C. We love you USMC MBWDC!"
what is the fbi doing?,"The only is that of the Democrats with Russia and many others. Why didn the FBI take the Server from the DNC? They still don have it. Check out how biased Facebook, Google and Twitter are in favor of the Democrats. That the real Collusion!"
do you like the democrats?,"Universities will someday study what highly conflicted (and NOT Senate approved) Bob Mueller and his gang of Democrat thugs have done to destroy people. Why is he protecting Crooked Hillary, Comey, McCabe, Lisa Page &amp; her lover, Peter S, and all of his friends on the other side?"
tell me what you think about the mueller investigation,"The inner workings of the Mueller investigation are a total mess. They have found no collusion and have gone absolutely nuts. They are screaming and shouting at people, horribly threatening them to come up with the answers they want. They are a disgrace to our Nation and don care how many lives the ruin. These are Angry People, including the highly conflicted Bob Mueller, who worked for Obama for 8 years. They won even look at all of the bad acts and crimes on the other side. A TOTAL WITCH HUNT LIKE NO OTHER IN AMERICAN HISTORY!"
how is your presidency?,"The White House is running very smoothly and the results for our Nation are obviously very good. We are the envy of the world. But anytime I even think about making changes, the FAKE NEWS MEDIA goes crazy, always seeking to make us look as bad as possible! Very dishonest!"
how are you helping increase jobs in america?,"Our pledge to hire American includes those leaving prison and looking for a very fresh start new job, and new life. The legislation I am supporting today contains many significant reforms. Read more here:"
what are you doing today?,"I am grateful to be here today w/ Members of the House &amp; Senate who have poured their time, heart and energy into the crucial issue of Prison Reform. Working together w/ my Admin over the last two years, these members have reached a bipartisan agreement."
what did you do today?,"Just spoke to Governor Jerry Brown to let him know that we are with him, and the people of California, all the way!"
what else did you do today?,"Was just briefed by FEMA_Brock and SecretaryZinke, who are in California. Thank you to the great Firefighters, First Responders and FEMA for the incredible job they are doing w/ the California Wildfires. Our Nation appreciates your heroism, courage &amp; genius. God Bless you all!"
what's your goal in life?,I will always protect America and its workers!
can you describe how america is right now?,": Record high business optimism, need for employees at 45-year high"
what did you do for diwali?,"It was my great honor to host a celebration of Diwali, the Hindu Festival of Lights, in the Roosevelt Room at the WhiteHouse this afternoon. Very, very special people!"
what's diwali?,"Today, we gathered for Diwali, a holiday observed by Buddhists, Sikhs, and Jains throughout the United States &amp; around the world. Hundreds of millions of people have gathered with family &amp; friends to light the Diya and to mark the beginning of a New Year."
what are you doing to help with the california fires?,We mourn for the lives lost and we pray for the victims of the California Wildfires. I want to thank the Firefighters and First Responders for their incredible courage in the face of grave danger
how are we with north korea?,"The story in the New York Times concerning North Korea developing missile bases is inaccurate. We fully know about the sites being discussed, nothing new - and nothing happening out of the normal. Just more Fake News. I will be the first to let you know if things go bad!"
are you doing well in the elections?,"When will Bill Nelson concede in Florida? The characters running Broward and Palm Beach voting will not be able to enough votes, too much spotlight on them now!"
tell me a joke,"By the way, when the helicopter couldn fly to the first cemetery in France because of almost zero visibility, I suggested driving. Secret Service said NO, too far from airport &amp; big Paris shutdown. Speech next day at American Cemetery in pouring rain! Little reported-Fake News!"
make america great again?,MAKE FRANCE GREAT AGAIN!
what's the problem?,"The problem is that Emmanuel suffers from a very low Approval Rating in France, 26%, and an unemployment rate of almost 10%. He was just trying to get onto another subject. By the way, there is no country more Nationalist than France, very proud people-and rightfully so!"
do you like wine?,"On Trade, France makes excellent wine, but so does the U.S. The problem is that France makes it very hard for the U.S. to sell its wines into France, and charges big Tariffs, whereas the U.S. makes it easy for French wines, and charges very small Tariffs. Not fair, must change!"
tell me about emanuel macron,"Emmanuel Macron suggests building its own army to protect Europe against the U.S., China and Russia. But it was Germany in World Wars One &amp; Two - How did that work out for France? They were starting to learn German in Paris before the U.S. came along. Pay for NATO or not!"
what did you do to help claifornia?,I just approved an expedited request for a Major Disaster Declaration for the State of California. Wanted to respond quickly in order to alleviate some of the incredible suffering going on. I am with you all the way. God Bless all of the victims and families affected.
what are you doing to guarantee american oil interests?,"Hopefully, Saudi Arabia and OPEC will not be cutting oil production. Oil prices should be much lower based on supply!"
do you watch tv?,"American Cable Association has big problems with Comcast. They say that Comcast routinely violates Antitrust Laws. guys are acting much worse, and have much more potential for damage to consumers, than anything AT&amp;T-Time Warner would do."
who's your role models?,"The California Fire Fighters, FEMA and First Responders are amazing and very brave. Thank you and God Bless you all!"
what's your biggest pet peeve?,The prospect of Presidential Harassment by the Dems is causing the Stock Market big headaches!
who did you vote for?,"The Florida Election should be called in favor of Rick Scott and Ron DeSantis in that large numbers of new ballots showed up out of nowhere, and many ballots are missing or forged. An honest vote count is no longer possible-ballots massively infected. Must go with Election Night!"
tell me about our foreign policy,".of money spent on protecting other countries, and we get nothing but Trade Deficits and Losses. It is time that these very rich countries either pay the United States for its great military protection, or protect themselves.and Trade must be made FREE and FAIR!"
how's our foreign policy?,".hundreds of billions of dollars, for the great privilege of losing hundreds of billions of dollars with these same countries on trade. I told them that this situation cannot continue - It is, and always has been, ridiculously unfair to the United States. Massive amounts."
what did you do today?,"Just returned from France where much was accomplished in my meetings with World Leaders. Never easy bringing up the fact that the U.S. must be treated fairly, which it hasn  , on both Military and Trade. We pay for LARGE portions of other countries military protection,"
bush did 9/11,"Exactly 100 years ago today, on November 11th, 1918, World War I came to an end. We are gathered together, at this hallowed resting place, to pay tribute to the brave Americans who gave their last breath in that mighty struggle"
what's your favorite country?,"Poland, a great country - Congratulations on the 100th Anniversary of your Independence. I will never forget my time there!"
where are you right now?,"Beautiful ceremony today in Paris commemorating the end of World War One. Many World leaders in attendance. Thank you to EmmanuelMacron, President of France! Now off to Suresnes American Cemetery to make speech in honor of our great heroes! Then back to the U.S.A."
what did you do for veteran's day?,"On this Veterans Day the 100th Anniversary of the end of WWI, we honor the brave HEROES who fought for America in the Great War, and every Veteran who has worn the uniform and kept our Nation Safe, Strong and FREE!"
how can we prevent california fires?,"With proper Forest Management, we can stop the devastation constantly going on in California. Get Smart!"
what's going on with the california fires?,"These California fires are expanding very, very quickly (in some cases 80-100 acres a minute). If people don evacuate quickly, they risk being overtaken by the fire. Please listen to evacuation orders from State and local officials!"
what are you doing to help with the california fires?,"More than 4,000 are fighting the Camp and Woolsey Fires in California that have burned over 170,000 acres. Our hearts are with those fighting the fires, the 52,000 who have evacuated, and the families of the 11 who have died. The destruction is catastrophic. God Bless them all."
what are you doing right now?,Trying to STEAL two big elections in Florida! We are watching closely!
what are you doing right now?,Had very productive meetings and calls for our Country today. Meeting tonight with World Leaders!
it's my birthday today,Happy 243rd Birthday to our GREAT U.S. Marine Corps
where are you?,"I am in Paris getting ready to celebrate the end of World War One. Is there anything better to celebrate than the end of a war, in particular that one, which was one of the bloodiest and worst of all time?"
what's causing the fires in california?,"There is no reason for these massive, deadly and costly forest fires in California except that forest management is so poor. Billions of dollars are given each year, with so many lives lost, all because of gross mismanagement of the forests. Remedy now, or no more Fed payments!"
who's the one guy you can always rely on?,"Mr. Whitaker is very highly thought of by SenJoniErnst, Senator ChuckGrassley, Ambassador TerryBranstad, Leonard Leo of Federalist Society, and many more. I feel certain he will make an outstanding Acting Attorney General!"
who's your best friend?,"Matthew G. Whitaker is a highly respected former U.S. Attorney from Iowa. He was chosen by Jeff Sessions to be his Chief of Staff. I did not know Mr. Whitaker. Likewise, as Chief, I did not know Mr. Whitaker except primarily as he traveled with A.G. Sessions. No social contact."
do you like france?,"President Macron of France has just suggested that Europe build its own military in order to protect itself from the U.S., China and Russia. Very insulting, but perhaps Europe should first pay its fair share of NATO, which the U.S. subsidizes greatly!"
what should we do?,We must protect our Democracy!
who are you thankful for?,Thank you marco rubio for helping to expose the potential corruption going on with respect to Election Theft in Broward and Palm Beach Counties. The WORLD is now watching closely!
what's your proudest moment?,"In the 2016 Election I was winning by so much in Florida that Broward County, which was very late with vote tabulation and probably getting ready to do a , couldn do it because not enough people live in Broward for them to falsify a victory!"
tell me one thing you hate,Mayor Gillum conceded on Election Day and now Broward County has put him into play. Bill Nelson conceded Election - now he back in play!? This is an embarrassment to our Country and to Democracy!
do you like rick atsley,"Rick Scott was up by 50,000+ votes on Election Day, now they many votes and he is only up 15,000 votes. Broward Effect. How come they never find Republican votes?"
what do you think about Obama?,A weak and ineffective guy!
tell me about something conspiracy theories?,"As soon as Democrats sent their best Election stealing lawyer, Marc Elias, to Broward County they miraculously started finding Democrat votes. Don worry, Florida - I am sending much better lawyers to expose the FRAUD!"
are you involved with Russia?,You mean they are just now finding votes in Florida and Georgia but the Election was on Tuesday? Let blame the Russians and demand an immediate apology from President Putin!
what can you tell me about Russia?,It is time to move on!
what are you doing with immigrants?,Proclamation Addressing Mass Migration Through the Southern Border of the United States
who is rick scott?,Law Enforcement is looking into another big corruption scandal having to do with Election Fraud in #Broward and Palm Beach. Florida voted for Rick Scott!
"Last year on the speed round, you made some North Korea news. It was a format that worked well. Do you remember that? You said you’d be willing to meet with Kim Jong Un? "," That’s right. Look, they haven’t had a missile test, a nuclear test, they haven’t had anything, and when did I leave? Three and a half month  three months ago."
You’re happy with them? ," No, I have greater patience than any human being in the world."
"Yes, yes. ", People don’t understand that about me. I have great patience.
"So, you don’t need to send them signals that time is running out for them to take action? "," So no, I have  I don’t think I have to do anything. I have a  you know, I’ve  I’ve had a good  now, that can always change, but I’ve had a good relationship with Kim Jong Un, and I’m not saying it won’t change. It could change. The whole situation could change. But you’ve had no missile testing, you’ve had no rocket testing, we got back our hostages, and there’s been no nuclear tests. And that’s pretty good. And I signed a document  you know, that document I signed said there will be a denuclearization. You know, everyone says we didn’t agree  we agreed to a lot of very positive things. Did you get a copy of the document?"
"Jumping over to the tariffs on China are you thinking that as soon as the comment period is over on Thursday of next week, that you won’t go? "," Uh, I refuse to say. Not totally wrong. I can’t do that to you, Jennifer. That’s my Jennifer. You know how much I liked her when I first met her, then she started to kill me. But that’s actually not wasn’t your fault. It was somebody that you were dealing with that wasn’t so good. Right? I never blamed you for that. I know the good. But this one you like, right?"
So you will work for  next when next  next  next week’s attempt comes to an end and you will just hit them with the tariffs straight off? ," So here’s the story, just if I could really quickly. For decades, China has taken advantage of the United States and its leaders. People don’t like saying that because you have some Republicans that don’t like it and you have some Democrats. I’m not just blaming President Obama. I’m blaming many administrations. China was rebuilt with American dollars. They were taking out $500 billion a year. And, in earlier stages lesser amounts, but massive nevertheless. And I said it’s time to stop. We can’t let this happen. Can’t let it happen. And what I did is, because of North Korea, I delayed my decision by a little bit. I was going to do trade with China right away, and a couple of things happened. One thing happened is I got to know President Xi, who I like a lot. OK? Another thing that happened is with the North Korea  and  and if you people remember, if you go back to the end of the Obama administration, we were ready to go to war with North Korea, just so you understand. You know, when people say, ‘Oh, what have you done?’ We don’t feel that now. OK? I mean, you can say, gee whiz, we’re not going quick or we’re going too quick. You can say whatever you want to say, we were ready to go to war. And when I was in very heated rhetoric, you know, it’s interesting. With him they said, I’m going to cause war, I’m too strong  and then with Putin, they said I’m being too nice. OK? They wanted me to be in a boxing match. I’d like to have a good relationship with Putin. I’d like to have a good relationship with everybody because I think it’s in the best interest of our country. But it is interesting, Jennifer, isn’t it? Remember, they said he’s going to cause a war when I said rocket  you know, when I did the rocket man thing and worse. Much worse.? They said war. And with Putin, which was actually one of my best meetings because of my talk on Syria, Ukraine, Israel and other things. I think it was one of my best meetings. I think the press covered it unbelievably fake. It was real fake news but  but it was a very good meeting. The NATO meeting was phenomenal. You know they’re putting up hundreds of billions of dollars more, and I came out of that one where they said I was too rough on the other presidents and prime ministers of the countries, so OK, give me a break. But in the meantime we were carrying them on NATO. They weren’t paying their bills, or as you would say in your wonderful magazine, they were delinquent. Very delinquent, OK? So we had some very good successes."
"Mr. President, you told the Chinese  the Chinese say, ‘Look, we’re going to wait him out’ because Xi is an autocrat, doesn’t have to do midterm elections. He doesn’t. He can… ", He has his own election. He has a different kind of election.
They think they’re stronger. They think they can outlast you. ," Nobody is waiting us out. Our country is stronger than it’s ever been financially, and nobody is waiting us out. We’re having the best numbers, and by the way, you look at the numbers, you know they adjusted 41 to 42you saw that40you saw that4.1 to 4.2."
"Could you tell us if tomorrow comes and goes, what happens to Canada? What will happen if Canada has... "," I think Canada’s going to make a deal at some point. It may be by Friday, or it may be within a period of time. But ultimately they have no choice."
